                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1041,                 2.2172,                  1.439,                0.51223,                0.53096,                0.54791,                  0.349,                 1.4288,                   2.23,                 1.7735,             0.00047326,             0.00047326,             0.00047326
                      1,                 1.1676,                 1.7228,                 1.4832,                0.48892,                0.55593,                0.52879,                0.30647,                 1.6048,                 2.6191,                  1.904,             0.00093393,             0.00093393,             0.00093393
                      2,                 1.2025,                 1.6252,                 1.5187,                 0.4112,                0.47857,                0.43464,                 0.2593,                 1.7771,                 3.1127,                  2.089,              0.0013789,              0.0013789,              0.0013789
                      3,                 1.1809,                 1.4782,                 1.4984,                0.65552,                0.54387,                0.61849,                 0.3887,                 1.4674,                 1.6555,                 1.7298,              0.0013583,              0.0013583,              0.0013583
                      4,                 1.1221,                 1.3605,                 1.4436,                0.69142,                0.63088,                0.65709,                0.45346,                 1.3932,                 1.5126,                 1.6869,              0.0013583,              0.0013583,              0.0013583
                      5,                 1.0639,                 1.2945,                 1.4117,                0.68102,                0.65921,                 0.6911,                0.47772,                 1.2806,                 1.3633,                 1.5668,              0.0013347,              0.0013347,              0.0013347
                      6,                 1.0298,                 1.2141,                 1.3914,                0.67272,                0.55067,                0.61923,                0.42308,                 1.2783,                 1.3833,                 1.5484,              0.0013111,              0.0013111,              0.0013111
                      7,                  1.024,                 1.1825,                 1.3858,                0.72058,                 0.7179,                0.73099,                 0.4896,                 1.3115,                 1.2636,                 1.6069,              0.0012875,              0.0012875,              0.0012875
                      8,                0.99897,                 1.1565,                 1.3641,                 0.7975,                0.62923,                0.72679,                0.53359,                 1.1635,                 1.1837,                 1.4546,               0.001264,               0.001264,               0.001264
                      9,                0.99515,                 1.1161,                 1.3644,                 0.8271,                0.74372,                  0.824,                0.58178,                 1.1698,                 1.0379,                 1.4201,              0.0012404,              0.0012404,              0.0012404
                     10,                0.97585,                 1.0932,                  1.351,                0.71914,                 0.7258,                0.74282,                0.51484,                 1.2831,                  1.281,                 1.6077,              0.0012168,              0.0012168,              0.0012168
                     11,                 0.9552,                 1.0664,                 1.3344,                0.78531,                0.74642,                0.81465,                 0.5953,                 1.0921,                 1.0493,                 1.3938,              0.0011932,              0.0011932,              0.0011932
                     12,                0.94953,                  1.046,                  1.322,                0.79417,                0.73111,                0.80211,                0.58156,                 1.1182,                 1.0416,                 1.3942,              0.0011696,              0.0011696,              0.0011696
                     13,                0.92677,                 1.0109,                 1.3156,                0.78992,                0.71714,                0.77925,                0.54415,                 1.2828,                 1.1935,                 1.5447,              0.0011461,              0.0011461,              0.0011461
                     14,                0.91689,                0.99133,                 1.3104,                0.81596,                0.79877,                0.84945,                0.62186,                 1.1343,                 0.9521,                 1.4057,              0.0011225,              0.0011225,              0.0011225
                     15,                0.90121,                0.94091,                 1.2928,                0.74751,                0.78061,                0.79305,                0.58663,                 1.1673,                 1.0482,                 1.4345,              0.0010989,              0.0010989,              0.0010989
                     16,                0.87846,                0.93559,                 1.2862,                0.79524,                0.82193,                0.84608,                0.61421,                 1.1313,                 1.0098,                 1.4031,              0.0010753,              0.0010753,              0.0010753
                     17,                0.88873,                0.91855,                 1.2847,                0.85719,                0.78781,                0.85682,                0.62477,                 1.1264,                0.90874,                 1.3879,              0.0010517,              0.0010517,              0.0010517
                     18,                0.88367,                0.93102,                 1.2748,                0.79801,                0.80383,                0.84178,                0.62575,                 1.1235,                0.90724,                 1.3716,              0.0010282,              0.0010282,              0.0010282
                     19,                0.86286,                0.89154,                  1.261,                0.82158,                0.81769,                0.88392,                0.64013,                 1.0797,                0.94926,                 1.3607,              0.0010046,              0.0010046,              0.0010046
                     20,                0.86036,                0.89782,                 1.2643,                0.81749,                0.78337,                 0.8429,                0.62331,                 1.1034,                0.89014,                 1.3979,             0.00098101,             0.00098101,             0.00098101
                     21,                0.86235,                0.88153,                 1.2581,                 0.8189,                0.81272,                0.84808,                0.62638,                 1.0572,                0.94974,                 1.3212,             0.00095743,             0.00095743,             0.00095743
                     22,                0.84802,                0.85143,                   1.25,                0.84449,                0.79846,                0.84797,                0.63537,                  1.072,                0.96778,                  1.368,             0.00093385,             0.00093385,             0.00093385
                     23,                 0.8469,                0.84607,                 1.2491,                0.84243,                0.80585,                0.87321,                0.65538,                 1.0151,                0.88203,                 1.3132,             0.00091027,             0.00091027,             0.00091027
                     24,                0.83182,                0.83627,                 1.2452,                0.86226,                0.81557,                0.88226,                0.65326,                 1.0484,                0.86888,                 1.3353,             0.00088669,             0.00088669,             0.00088669
                     25,                0.83289,                0.83715,                  1.235,                 0.8708,                0.85439,                0.90519,                0.68027,                 1.0472,                0.77057,                 1.3136,             0.00086312,             0.00086312,             0.00086312
                     26,                  0.815,                0.80289,                 1.2231,                0.80807,                0.82101,                0.87006,                0.64777,                 1.0892,                0.91663,                 1.3644,             0.00083954,             0.00083954,             0.00083954
                     27,                0.82934,                0.82119,                 1.2392,                 0.8389,                0.82231,                 0.8684,                0.64823,                 1.0683,                0.91992,                 1.3386,             0.00081596,             0.00081596,             0.00081596
                     28,                0.80995,                0.81428,                 1.2296,                0.85073,                0.82183,                0.87936,                0.67419,                 1.0344,                0.79765,                 1.3095,             0.00079238,             0.00079238,             0.00079238
                     29,                 0.7975,                0.78095,                 1.2201,                0.88061,                0.83229,                0.90146,                0.67376,                 1.0417,                 0.7883,                 1.3152,              0.0007688,              0.0007688,              0.0007688
                     30,                0.79963,                0.77578,                 1.2075,                0.86218,                0.82617,                0.89504,                0.67753,                 1.0076,                0.78932,                  1.301,             0.00074522,             0.00074522,             0.00074522
                     31,                 0.7863,                0.74422,                 1.2069,                0.85962,                0.83601,                0.89711,                0.66195,                 1.0273,                0.77442,                 1.3172,             0.00072164,             0.00072164,             0.00072164
                     32,                0.78573,                0.76443,                 1.2065,                0.90133,                0.81489,                0.89486,                0.67715,                 1.0249,                 0.8061,                 1.3162,             0.00069807,             0.00069807,             0.00069807
                     33,                0.77059,                0.74604,                 1.1959,                0.84234,                0.83723,                0.88534,                0.67594,                 1.0383,                0.81781,                 1.3048,             0.00067449,             0.00067449,             0.00067449
                     34,                0.76628,                0.72646,                 1.1865,                0.89939,                0.83844,                0.89251,                0.65874,                  1.061,                0.82339,                 1.3147,             0.00065091,             0.00065091,             0.00065091
                     35,                0.76238,                0.72798,                 1.1901,                0.88194,                 0.8225,                 0.8919,                0.67798,                 1.0199,                0.74469,                 1.2704,             0.00062733,             0.00062733,             0.00062733
                     36,                0.75936,                0.71287,                 1.1887,                 0.8764,                0.84502,                0.89171,                0.67193,                 1.0604,                0.76631,                 1.3158,             0.00060375,             0.00060375,             0.00060375
                     37,                0.76036,                0.71226,                 1.1841,                0.88632,                0.83121,                 0.8896,                0.67929,                 1.0207,                0.80692,                 1.2881,             0.00058017,             0.00058017,             0.00058017
                     38,                0.74795,                0.69702,                 1.1769,                0.90085,                0.82252,                0.89953,                0.68426,                  1.022,                0.78082,                 1.2809,              0.0005566,              0.0005566,              0.0005566
                     39,                0.74328,                0.68509,                 1.1795,                0.88156,                0.86311,                0.90944,                0.68943,                 1.0143,                0.75062,                   1.28,             0.00053302,             0.00053302,             0.00053302
                     40,                0.73103,                 0.6732,                 1.1686,                0.86645,                0.85499,                0.89548,                0.68163,                 1.0027,                0.83226,                 1.2801,             0.00050944,             0.00050944,             0.00050944
                     41,                0.73505,                0.67863,                  1.169,                0.88134,                0.83714,                0.89418,                0.68569,                 1.0849,                0.79537,                 1.3264,             0.00048586,             0.00048586,             0.00048586
                     42,                0.72702,                0.66311,                 1.1652,                0.88801,                0.83924,                  0.906,                0.68261,                 1.0583,                 0.7659,                 1.3143,             0.00046228,             0.00046228,             0.00046228
                     43,                 0.7206,                0.66209,                 1.1621,                0.87133,                0.84617,                0.89996,                0.68585,                 1.0319,                0.75168,                 1.2822,              0.0004387,              0.0004387,              0.0004387
                     44,                 0.7208,                0.65726,                  1.164,                0.86893,                0.82148,                0.88352,                0.67887,                 1.0002,                0.78287,                 1.2623,             0.00041512,             0.00041512,             0.00041512
                     45,                0.70963,                0.64649,                 1.1527,                 0.8718,                0.82816,                0.89871,                0.69119,                 1.0034,                 0.7649,                 1.2562,             0.00039155,             0.00039155,             0.00039155
                     46,                0.72201,                0.65158,                 1.1589,                 0.8696,                0.82464,                0.89526,                0.69893,                0.96049,                0.75869,                 1.2472,             0.00036797,             0.00036797,             0.00036797
