                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                   1.14,                 2.2266,                 1.4593,                0.62287,                0.56194,                0.58618,                0.35637,                 1.4509,                  2.143,                  1.767,             0.00047326,             0.00047326,             0.00047326
                      1,                 1.2058,                 1.7528,                 1.5051,                0.38269,                0.46734,                0.41672,                 0.2404,                 1.6837,                  2.527,                 1.9646,             0.00094333,             0.00094333,             0.00094333
                      2,                 1.2452,                 1.6906,                 1.5494,                0.44367,                0.55876,                0.50152,                0.29472,                  1.807,                 2.1939,                 2.2548,              0.0014071,              0.0014071,              0.0014071
                      3,                 1.2213,                 1.5399,                 1.5285,                 0.7117,                 0.6445,                0.68291,                0.43954,                 1.3964,                 1.6273,                 1.6831,              0.0014007,              0.0014007,              0.0014007
                      4,                 1.1739,                 1.4332,                  1.477,                0.69264,                0.70514,                0.70576,                0.48469,                 1.4018,                 1.5882,                  1.673,              0.0014007,              0.0014007,              0.0014007
                      5,                  1.129,                 1.3468,                 1.4502,                0.70147,                 0.6545,                0.69085,                0.47225,                  1.359,                 1.4736,                 1.6748,              0.0013913,              0.0013913,              0.0013913
                      6,                 1.1031,                 1.3009,                  1.438,                0.69797,                0.68943,                0.72625,                 0.5063,                 1.2949,                 1.2666,                 1.5301,              0.0013818,              0.0013818,              0.0013818
                      7,                 1.0823,                 1.2283,                 1.4095,                0.72263,                  0.736,                0.72044,                0.51468,                 1.2993,                 1.3284,                  1.599,              0.0013724,              0.0013724,              0.0013724
                      8,                 1.0474,                 1.1969,                 1.3996,                0.61984,                0.69351,                0.69021,                0.48123,                 1.2517,                 1.3513,                 1.5055,               0.001363,               0.001363,               0.001363
                      9,                  1.038,                 1.1509,                 1.3884,                0.78435,                0.71764,                0.75435,                0.51707,                 1.2028,                 1.2415,                 1.4744,              0.0013535,              0.0013535,              0.0013535
                     10,                 1.0484,                 1.1667,                 1.3888,                0.73144,                0.72657,                0.76174,                0.53536,                 1.2565,                 1.2345,                 1.5307,              0.0013441,              0.0013441,              0.0013441
                     11,                0.99482,                 1.1087,                 1.3602,                0.75745,                0.72147,                0.75053,                0.53725,                 1.2215,                  1.251,                 1.5157,              0.0013347,              0.0013347,              0.0013347
                     12,                 1.0093,                 1.0991,                  1.358,                0.85291,                0.76995,                0.84004,                0.60325,                 1.1226,                 1.0147,                 1.4139,              0.0013253,              0.0013253,              0.0013253
                     13,                0.97983,                 1.0603,                 1.3442,                 0.8547,                0.75141,                 0.8193,                0.59249,                 1.2187,                 1.1378,                 1.5087,              0.0013158,              0.0013158,              0.0013158
                     14,                0.96417,                 1.0322,                  1.335,                0.77421,                0.79479,                0.81193,                0.60277,                 1.1645,                 1.0012,                 1.4195,              0.0013064,              0.0013064,              0.0013064
                     15,                0.95724,                0.99725,                 1.3292,                0.77511,                 0.8269,                0.82788,                0.60047,                 1.1524,                 0.9578,                 1.4139,               0.001297,               0.001297,               0.001297
                     16,                0.94671,                 1.0023,                 1.3218,                0.79654,                0.78821,                0.82503,                0.60723,                 1.1068,                 1.0322,                 1.4098,              0.0012875,              0.0012875,              0.0012875
                     17,                0.94367,                0.96717,                 1.3141,                0.82946,                0.81091,                0.84518,                0.63731,                 1.1096,                0.94823,                 1.3805,              0.0012781,              0.0012781,              0.0012781
                     18,                0.94997,                0.97608,                 1.3141,                0.80781,                   0.75,                0.80114,                0.58418,                 1.1255,                0.96427,                 1.3808,              0.0012687,              0.0012687,              0.0012687
                     19,                0.92325,                0.95303,                  1.295,                 0.8142,                0.80924,                0.85601,                0.62409,                  1.076,                0.95809,                 1.3475,              0.0012592,              0.0012592,              0.0012592
                     20,                0.93562,                0.95721,                 1.3109,                0.83251,                0.79137,                0.85042,                0.62456,                 1.0937,                0.94183,                  1.392,              0.0012498,              0.0012498,              0.0012498
                     21,                0.93422,                 0.9401,                 1.2994,                0.77697,                0.82142,                 0.8115,                0.61431,                 1.0739,                 1.0276,                 1.3621,              0.0012404,              0.0012404,              0.0012404
                     22,                0.91246,                0.92126,                 1.2907,                0.84708,                0.78285,                0.85565,                0.63206,                 1.0955,                0.98655,                 1.3776,              0.0012309,              0.0012309,              0.0012309
                     23,                0.91642,                0.91776,                 1.2954,                0.84755,                0.77961,                0.85361,                0.63501,                 1.0914,                0.95548,                 1.3619,              0.0012215,              0.0012215,              0.0012215
                     24,                0.90946,                0.91289,                 1.2882,                0.79893,                0.85707,                0.86359,                 0.6483,                 1.0523,                0.84953,                 1.3418,              0.0012121,              0.0012121,              0.0012121
                     25,                0.91523,                0.91339,                 1.2845,                0.84853,                0.83373,                0.88339,                0.65286,                 1.0874,                0.86344,                 1.3528,              0.0012026,              0.0012026,              0.0012026
                     26,                0.89791,                0.87191,                  1.269,                0.85779,                0.81984,                0.87567,                0.63673,                  1.119,                0.90297,                 1.3879,              0.0011932,              0.0011932,              0.0011932
                     27,                0.89929,                0.88445,                 1.2795,                0.81829,                0.82219,                0.85141,                0.63622,                 1.0656,                0.93511,                 1.3448,              0.0011838,              0.0011838,              0.0011838
                     28,                0.87997,                0.88039,                 1.2656,                0.83687,                0.76846,                0.83582,                0.63325,                 1.0593,                0.89085,                 1.3618,              0.0011744,              0.0011744,              0.0011744
                     29,                0.87896,                0.86007,                 1.2651,                0.80469,                0.78269,                0.82985,                0.60957,                 1.0769,                0.96231,                 1.3622,              0.0011649,              0.0011649,              0.0011649
                     30,                0.88383,                 0.8629,                 1.2579,                 0.8995,                 0.8016,                0.88508,                 0.6596,                 1.0848,                0.87262,                 1.3639,              0.0011555,              0.0011555,              0.0011555
                     31,                0.85571,                0.82849,                 1.2447,                0.82408,                0.84082,                0.87229,                0.65445,                 1.0336,                0.92186,                 1.2964,              0.0011461,              0.0011461,              0.0011461
                     32,                0.87618,                0.84546,                 1.2568,                 0.8358,                0.82207,                0.86833,                0.63702,                 1.1103,                0.87865,                  1.359,              0.0011366,              0.0011366,              0.0011366
                     33,                0.84823,                0.81526,                 1.2371,                0.81489,                0.83882,                0.87977,                0.66416,                 1.0997,                0.87001,                 1.3327,              0.0011272,              0.0011272,              0.0011272
                     34,                0.84898,                 0.8118,                 1.2315,                0.82102,                0.82497,                 0.8655,                0.63125,                 1.0762,                0.84217,                 1.3153,              0.0011178,              0.0011178,              0.0011178
                     35,                 0.8509,                0.82101,                 1.2389,                0.82928,                0.81245,                 0.8555,                0.63822,                 1.0474,                0.83339,                 1.3121,              0.0011083,              0.0011083,              0.0011083
